EPA Region,State,County,Risk,Governance,Built Environment,Natural Environment,Society,CRSI,,,,,
2,New York,Albany,0.455,0.807,0.542,0.343,0.639,2.973,,,,,
2,New York,Allegany,0.118,0.871,0.482,0.343,0.385,6.393,,,,,
2,New York,Bronx,0.529,0.785,0.297,0.203,0.409,-0.225,,,,,Climate_Resilience_Screening_Index_New_York1
2,New York,Broome,0.381,0.822,0.505,0.335,0.497,2.543,,,,,
2,New York,Cattaraugus,0.186,0.856,0.56,0.46,0.421,7.03,,,,,
2,New York,Cayuga,0.139,0.878,0.464,0.368,0.571,8.215,,,,,
2,New York,Chautauqua,0.152,0.834,0.567,0.399,0.414,7.49,,,,,
2,New York,Chemung,0.204,0.829,0.339,0.304,0.472,2.002,,,,,
2,New York,Chenango,0.16,0.867,0.393,0.362,0.474,4.597,,,,,
2,New York,Clinton,0.154,0.837,0.587,0.412,0.534,9.484,,,,,
2,New York,Columbia,0.155,0.829,0.412,0.387,0.603,6.865,,,,,
2,New York,Cortland,0.146,0.863,0.331,0.341,0.527,4.245,,,,,
2,New York,Delaware,0.21,0.836,0.519,0.375,0.485,5.207,,,,,
2,New York,Dutchess,0.521,0.823,0.612,0.366,0.587,2.895,,,,,
2,New York,Erie,0.463,0.81,0.713,0.296,0.55,3.278,,,,,
2,New York,Essex,0.126,0.85,0.53,0.493,0.561,12.497,,,,,
2,New York,Franklin,0.138,0.853,0.44,0.56,0.531,10.467,,,,,
2,New York,Fulton,0.14,0.813,0.282,0.406,0.464,3.386,,,,,
2,New York,Genesee,0.205,0.864,0.377,0.393,0.544,4.406,,,,,
2,New York,Greene,0.188,0.83,0.465,0.356,0.495,4.869,,,,,
2,New York,Hamilton,0.062,0.937,0.354,0.565,0.556,22.062,,,,,
2,New York,Herkimer,0.112,0.85,0.503,0.49,0.422,10.901,,,,,
2,New York,Jefferson,0.147,0.856,0.672,0.446,0.485,11.523,,,,,
2,New York,Kings,0.366,0.768,0.31,0.33,0.502,1.065,,,,,
2,New York,Lewis,0.095,0.901,0.463,0.456,0.516,13.405,,,,,
2,New York,Livingston,0.116,0.869,0.48,0.449,0.539,11.341,,,,,
2,New York,Madison,0.144,0.853,0.42,0.403,0.538,7.063,,,,,
2,New York,Monroe,0.375,0.832,0.623,0.364,0.519,3.765,,,,,
2,New York,Montgomery,0.143,0.856,0.26,0.322,0.492,2.146,,,,,
2,New York,Nassau,0.351,0.772,0.564,0.342,0.703,4.263,,,,,
2,New York,New York,0.569,0.756,0.376,0.259,0.46,0.523,,,,,
2,New York,Niagara,0.279,0.822,0.432,0.425,0.481,3.453,,,,,
2,New York,Oneida,0.235,0.82,0.676,0.398,0.525,6.946,,,,,
2,New York,Onondaga,0.458,0.831,0.59,0.353,0.567,3.025,,,,,
2,New York,Ontario,0.159,0.855,0.528,0.413,0.555,8.615,,,,,
2,New York,Orange,0.52,0.828,0.704,0.362,0.591,3.379,,,,,
2,New York,Orleans,0.162,0.858,0.325,0.431,0.443,4.025,,,,,
2,New York,Oswego,0.166,0.852,0.565,0.33,0.389,5.619,,,,,
2,New York,Otsego,0.149,0.857,0.441,0.337,0.528,6.022,,,,,
2,New York,Putnam,0.411,0.825,0.403,0.463,0.633,3.106,,,,,
2,New York,Queens,0.336,0.764,0.467,0.318,0.578,2.75,,,,,
2,New York,Rensselaer,0.371,0.838,0.478,0.359,0.531,2.802,,,,,
2,New York,Richmond,0.508,0.789,0.314,0.431,0.579,1.62,,,,,
2,New York,Rockland,0.556,0.811,0.345,0.34,0.618,1.402,,,,,
2,New York,Saratoga,0.473,0.836,0.535,0.355,0.566,2.631,,,,,
2,New York,Schenectady,0.39,0.82,0.218,0.274,0.528,0.282,,,,,
2,New York,Schoharie,0.077,0.887,0.32,0.31,0.525,6.912,,,,,
2,New York,Schuyler,0.099,0.872,0.312,0.394,0.545,7.514,,,,,
2,New York,Seneca,0.134,0.879,0.328,0.427,0.492,5.743,,,,,
2,New York,St. Lawrence,0.117,0.857,0.691,0.508,0.453,15.68,,,,,
2,New York,Steuben,0.105,0.862,0.707,0.353,0.445,14.118,,,,,
2,New York,Suffolk,0.383,0.787,0.738,0.512,0.683,6.145,,,,,
2,New York,Sullivan,0.183,0.815,0.553,0.361,0.512,6.476,,,,,
2,New York,Tompkins,0.111,0.823,0.457,0.343,0.459,7.105,,,,,
2,New York,Ulster,0.219,0.824,0.636,0.455,0.542,7.77,,,,,
2,New York,Warren,0.139,0.847,0.435,0.439,0.599,9.113,,,,,
2,New York,Washington,0.147,0.863,0.408,0.365,0.484,5.411,,,,,
2,New York,Westchester,0.591,0.802,0.544,0.31,0.589,1.979,,,,,
2,New York,Wyoming,0.122,0.882,0.406,0.353,0.504,6.711,,,,,
2,New York,Yates,0.11,0.86,0.322,0.376,0.542,6.465,,,,,
